UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORATE,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE
P.072,PERAK,P.072,TAPAH,61946,44481,,,,,,,,,,,,,,,,PEJUANG,MIOR HAIDIR,MALE,,335,,,,,,,,,,,WARISAN,MOHAMED AKBAR B. YASIN,MALE,,200,,,,,,,,,,,INDEPENDENT - KEY,M. KATHIRAVAN,MALE,,99,,,,,,,,,,,,,,,
P.073,PERAK,P.073,PASIR SALAK,74761,57023,,,,,,,,,,,,,,,,PUTRA,ZAIROL HIZAM BIN ZAKARIA,MALE,49,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.074,PERAK,P.074,LUMUT,92972,71162,,,,,,,,,,,,,,,,PEJUANG,MAZLAN ABD GHANI,MALE,47,385,,,,,,,,,,,WARISAN,KOMANDER ISNIN,MALE,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.075,PERAK,P.075,BAGAN DATUK,58183,41856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,TAWFIK TUN DR ISMAIL,MALE,71,226,,,,,,,,,,,,,,,
P.076,PERAK,P.076,TELUK INTAN,87222,64194,,,,,,,,,,,,,,,,PEJUANG,AMIR KHUSYAIRI,MALE,40,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.077,PERAK,P.077,TANJONG MALIM,93873,69671,,,,,,,,,,,,,,,,IMAN,DR AMIR HAMZAH,MALE,50,609,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - DONKEY,DATUK JAMALUDDIN BIN MOHD. RADZI,MALE,66,1032,INDEPENDENT - PEN,CIKGU IZZAT JOHARI,MALE,,328,,,,,,,,,,
P.078,PAHANG,P.078,CAMERON HIGHLANDS,46020,33265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.079,PAHANG,P.079,LIPIS,47124,35855,,,,,,,,,,,,,,,,PEJUANG,AISHATON BINTI ABU BAKAR,FEMALE,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080,PAHANG,P.080,RAUB,75064,56235,,,,,,,,,,,,,,,,PEJUANG,NORKHAIRUL ANUAR BIN MOHAMED NOR,MALE,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081,PAHANG,P.081,JERANTUT,87051,66754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.082,PAHANG,P.082,INDERA MAHKOTA,120549,93327,,,,,,,,,,,,,,,,BERJASA,DR. MOHAMAD NOR BIN SUNDARI,MALE,58,1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083,PAHANG,P.083,KUANTAN,87597,67762,,,,,,,,,,,,,,,,PEJUANG,MEJAR ANUAR TAJUDDIN (B),MALE,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084,PAHANG,P.084,PAYA BESAR,79744,61983,,,,,,,,,,,,,,,,PEJUANG,IR. ROSMINAHAR,MALE,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085,PAHANG,P.085,PEKAN,119443,93041,,,,,,PKR,MOHD NAIM ZAINAL ABIDIN,MALE,56,6316,,,,,,PEJUANG,DATO' RADHI ABDUL RAZAK,MALE,,472,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,66,366,,,,,,,,,,,,,,,
P.086,PAHANG,P.086,MARAN,53128,41092,,,,,,PAN,AHMAD SHUHOR,MALE,,3547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PEN,MUHAMAD HAFIZ AL-HAFIZ,MALE,,166,,,,,,,,,,,,,,,
P.087,PAHANG,P.087,KUALA KRAU,60537,47743,,,,,,PAN,JUHARI OSMAN,MALE,45,3593,,,,,,PEJUANG,SHAHRUDDIN MOHAMED SALLEH,MALE,66,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.088,PAHANG,P.088,TEMERLOH,106829,82637,,,,,,,,,,,,,,,,GB,AMINUDDIN BIN YAHAYA,MALE,,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.089,PAHANG,P.089,BENTONG,87058,66657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PEN,ACHIK KHALIL,MALE,,168,INDEPENDENT - HOE,WONG TACK,MALE,,798,,,,,,,,,,
P.090,PAHANG,P.090,BERA,77669,59548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.091,PAHANG,P.091,ROMPIN,89131,66927,,,,,,PKR,ERMAN SHAH,MALE,43,4779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,HAMIZI BIN HUSSAIN,MALE,,408,,,,,,,,,,,,,,,
P.092,SELANGOR,P.092,SABAK BERNAM,51609,40977,,,,,,,,,,,,,,,,GB,DATO` SRI EIZLAN YUSOF,MALE,51,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.093,SELANGOR,P.093,SUNGAI BESAR,64382,51070,,,,,,,,,,,,,,,,PUTRA,DATO' ASMAWAR BIN SAMAT,MALE,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.094,SELANGOR,P.094,HULU SELANGOR,154317,122442,,,,,,,,,,,,,,,,PEJUANG,HARUMAINI BIN HAJI OMAR,MALE,,1849,,,,,,,,,,,,,,,,PBM,HANIZA TALHA,FEMALE,60,1013,,,,,,INDEPENDENT - PEN,AZLINDA BINTI BARONI,FEMALE,,446,,,,,,,,,,,,,,,
P.095,SELANGOR,P.095,TANJONG KARANG,62194,51205,,,,,,,,,,,,,,,,GB,LANDO BROTHERHOOD,MALE,47,3557,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,MOHD ROSNI,MALE,59,1406,,,,,,,,,,,,,,,
P.096,SELANGOR,P.096,KUALA SELANGOR,102951,86481,,,,,,,,,,,,,,,,PEJUANG,YB SHAID ROSLI,MALE,40,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.097,SELANGOR,P.097,SELAYANG,181539,144881,,,,,,,,,,,,,,,,PEJUANG,SALLEH AMIRUDDIN,MALE,59,2584,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PEN,MUHAMMAD ZAKI BIN OMAR,MALE,37,945,,,,,,,,,,,,,,,
P.098,SELANGOR,P.098,GOMBAK,206744,165426,,,,,,,,,,,,,,,,PUTRA,DATUK DR. AZIZ JAMALUDIN,MALE,68,2223,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PEN,IR HJ ZULKIFLI,MALE,,675,,,,,,,,,,,,,,,
P.099,SELANGOR,P.099,AMPANG,133494,104430,MCA,IVONE LOW YI WEN,FEMALE,29,11509,,,,,,,,,,,PEJUANG,DR. NURUL ASHIKIN,FEMALE,33,2653,,,,,,,,,,,WARISAN,BRYAN LAI,MALE,,1423,PBM,ZURAIDA BINTI KAMARUDDIN,FEMALE,64,4589,,,,,,INDEPENDENT - PEN,M.RAVEEN,MALE,,148,INDEPENDENT - CLOCK,MUHAMMAD SHAFIQ IZWAN BIN MOHD YUNOS,MALE,,188,INDEPENDENT - ELEPHANT,TAN HUA MENG,MALE,,93,,,,,
P.100,SELANGOR,P.100,PANDAN,148730,115656,MCA,LEONG KOK WEE,MALE,54,11664,,,,,,,,,,,GB,NADIA HANAFIAH,FEMALE,53,961,,,,,,,,,,,WARISAN,ONG TEE KEAT,MALE,66,3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.101,SELANGOR,P.101,HULU LANGAT,166902,136787,,,,,,,,,,,,,,,,PEJUANG,DATO HAJI MARKIMAN KOBIRAN,MALE,,1655,,,,,,,,,,,WARISAN,DATO' ABDUL RAHMAN BIN JAAFAR,MALE,,370,,,,,,,,,,,INDEPENDENT - TREE,DR MOHAMED MUSTAFA,MALE,,326,,,,,,,,,,,,,,,
P.102,SELANGOR,P.102,BANGI,303430,244291,MCA,HOH HEE LEE,MALE,62,25685,,,,,,,,,,,BERJASA,USTAZ ANNUAR BIN SALLEH,MALE,56,3148,,,,,,,,,,,,,,,,PRM,CHEE CHEE MENG,MALE,,752,,,,,,INDEPENDENT - KEY,DR. JAMAL,MALE,65,676,INDEPENDENT - PEN,FAUZI HASIM,MALE,,401,INDEPENDENT - HOE,ASSOCIATE PROF. SUTHAN M,MALE,,194,,,,,
P.103,SELANGOR,P.103,PUCHONG,152861,120949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PHONE,UNCLE KENTANG,MALE,59,1793,,,,,,,,,,,,,,,
P.104,SELANGOR,P.104,SUBANG,230940,177983,MCA,DR KOW,MALE,56,16539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.105,SELANGOR,P.105,PETALING JAYA,195148,145862,,,,,,,,,,,,,,,,GB,MAZWEEN MOKHTAR,FEMALE,44,4052,,,,,,,,,,,,,,,,PRM,DATUK EZAM MOHD NOR,MALE,55,2049,,,,,,INDEPENDENT - KEY,DR. K. J. JOHN,MALE,72,461,,,,,,,,,,,,,,,
P.106,SELANGOR,P.106,DAMANSARA,239103,174937,MCA,TAN GIM TUAN GT,MALE,53,13806,,,,,,GERAKAN,LIM SI CHING,MALE,30,18256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.107,SELANGOR,P.107,SUNGAI BULOH,158090,129639,,,,,,,,,,,,,,,,PEJUANG,AKMAL YUSOFF,MALE,,829,,,,,,,,,,,,,,,,PRM,AHMAD JUFLIZ,MALE,,279,,,,,,INDEPENDENT - BOOK,SIFU LINDA,FEMALE,33,113,INDEPENDENT - SPECTACLES,SYED RAZAK ALSAGOFF,MALE,62,165,,,,,,,,,,
P.108,SELANGOR,P.108,SHAH ALAM,165744,135770,,,,,,,,,,,,,,,,PEJUANG,RAFIQUE RASHID,MALE,45,2781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.109,SELANGOR,P.109,KAPAR,189369,158030,,,,,,,,,,,,,,,,BERJASA,UST. HJ. MOHD PATHAN BIN HUSSIN,MALE,,1015,,,,,,,,,,,WARISAN,DATO' SERI RAHIM,MALE,,265,PBM,DR DAROYAH BINTI ALWI,FEMALE,60,1474,,,,,,INDEPENDENT - ELEPHANT,DATO' SRI SIVALINGAM,MALE,,477,,,,,,,,,,,,,,,
P.110,SELANGOR,P.110,KLANG,208913,163905,MCA,TEE HOOI LING,FEMALE,47,19762,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,LOO CHENG WEE,MALE,59,1140,PRM,CHANDRASEGAR,MALE,,271,,,,,,INDEPENDENT - HOUSE,HEDRHIN RAMLI @ AWIN,MALE,43,3016,INDEPENDENT - RING,DEEPAK JAIKISHAN,MALE,,439,,,,,,,,,,
P.111,SELANGOR,P.111,KOTA RAJA,244712,197740,MIC,KAJENDRAN,MALE,40,22225,,,,,,,,,,,BERJASA,FAHMI BAZLAN MUDA,MALE,,2063,,,,,,,,,,,,,,,,PRM,SARAH AFIQAH,FEMALE,,360,,,,,,INDEPENDENT - HOE,KUMAR KARANANEDI,MALE,,163,INDEPENDENT - ELEPHANT,P.RAVEENTHARAN A/L A.PERIASAMY,MALE,59,209,INDEPENDENT - TELEVISION,SURENDHAR SELVARAJU,MALE,,106,,,,,
P.112,SELANGOR,P.112,KUALA LANGAT,148637,123860,,,,,,,,,,,,,,,,GB,MOHD RIDZUAN ABDULLAH,MALE,,591,,,,,,,,,,,,,,,,PRM,GANESKUMAR,MALE,,171,,,,,,INDEPENDENT - PEN,HAJAH ZANARIAH JUMHURI,FEMALE,,512,,,,,,,,,,,,,,,
P.113,SELANGOR,P.113,SEPANG,168039,137955,,,,,,,,,,,,,,,,PEJUANG,CHE ASMAH IBRAHIM,FEMALE,59,2337,,,,,,,,,,,,,,,,PRM,NAGESWARAN RAVI,MALE,,165,PUR,DAUD LEONG,MALE,57,264,,,,,,INDEPENDENT - PEN,SHAHRUL AMRI MAT SARI,MALE,,319,INDEPENDENT - ELEPHANT,M. MUNESWARAN,MALE,,194,,,,,
P.114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.114,KEPONG,94285,72319,MCA,YAP ZHENG HOE,MALE,30,3227,,,,,,GERAKAN,PHAANG JING FATT,MALE,,2795,,,,,,,,,,,,,,,,WARISAN,SHAUN YOUNG,MALE,,528,,,,,,,,,,,INDEPENDENT - ELEPHANT,YEE POH PING,MALE,62,1461,,,,,,,,,,,,,,,
P.115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.115,BATU,113863,87146,MIC,A. KOHILAN PILLAY,MALE,,10398,,,,,,,,,,,PEJUANG,WAN AZLIANA,FEMALE,45,849,,,,,,,,,,,WARISAN,NATHAN BATU,MALE,,575,PRM,ZULKIFLI FATTAH,MALE,,137,,,,,,INDEPENDENT - SPECTACLES,SITI KASIM,FEMALE,59,653,INDEPENDENT - CHAIR,TIAN CHUA,MALE,59,4603,INDEPENDENT - KEY,TOO GAO LAN,MALE,,112,INDEPENDENT - TREE,NUR FATHIAH SYAZWANA @ CLEO,FEMALE,28,628
P.116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.116,WANGSA MAJU,120323,92740,,,,,,,,,,,,,,,,PUTRA,NORZAILA,FEMALE,48,987,,,,,,,,,,,WARISAN,WEE CHOO KEONG,MALE,69,576,,,,,,,,,,,INDEPENDENT - KEY,RAVEE SUNTHERALINGAM,MALE,60,216,,,,,,,,,,,,,,,
P.117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.117,SEGAMBUT,119652,85496,MCA,DANIEL LING SIA CHIN,MALE,58,8304,,,,,,GERAKAN,PRABAGARAN,MALE,,8754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.118,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.118,SETIAWANGSA,95753,74764,,,,,,,,,,,,,,,,PEJUANG,BIBI SUNITA,FEMALE,52,953,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOUSE,STANLEY LIM YEN TIONG,MALE,56,282,INDEPENDENT - TREE,MEJAR MIOR ROSLI TUDM (B),MALE,,492,,,,,,,,,,
P.119,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.119,TITIWANGSA,80747,60858,,,,,,,,,,,,,,,,PEJUANG,DATO' SRI KHAIRUDDIN BIN ABU HASSAN,MALE,,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.120,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.120,BUKIT BINTANG,79782,52936,MCA,TAN TEIK PENG,MALE,42,4850,,,,,,PPBM,EDWIN CHEN,MALE,,4259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.121,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.121,LEMBAH PANTAI,101828,76714,,,,,,,,,,,,,,,,PUTRA,DR. ASMAH,FEMALE,58,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.122,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.122,SEPUTEH,124805,87454,MCA,LEE KAH HING,MALE,54,6032,,,,,,GERAKAN,WONG YEE YENG,MALE,,6047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - SPECTACLES,CHOY SAN YEH,FEMALE,55,865,INDEPENDENT - RABBIT,LEE WAI HONG,MALE,42,1276,,,,,,,,,,
P.123,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.123,CHERAS,101184,71746,MCA,CHONG YEW CHUAN,MALE,39,5606,,,,,,PPBM,RUBY CHIN,FEMALE,,5846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.124,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.124,BANDAR TUN RAZAK,119185,93021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.125,WILAYAH PERSEKUTUAN PUTRAJAYA,P.125,PUTRAJAYA,42881,36643,,,,,,,,,,,,,,,,BERJASA,DATO' MOHD ROSLI BIN RAMLI,MALE,,878,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PEN,SAMSUDIN PKPKL,MALE,46,63,INDEPENDENT - TREE,LIM FICE BEE,FEMALE,44,20,,,,,,,,,,
P.126,NEGERI SEMBILAN,P.126,JELEBU,59561,45334,,,,,,,,,,,,,,,,PUTRA,AHMAD FAKHRI,MALE,41,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.127,NEGERI SEMBILAN,P.127,JEMPOL,95813,71795,,,,,,,,,,,,,,,,PUTRA,TAN SRI KHALID YUNUS,MALE,79,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.128,NEGERI SEMBILAN,P.128,SEREMBAN,157244,123289,,,,,,,,,,,,,,,,PEJUANG,SJN (B) MOHAMAD JANI,MALE,,1336,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PEN,IZZAT LESLY,MALE,33,373,,,,,,,,,,,,,,,
P.129,NEGERI SEMBILAN,P.129,KUALA PILAH,63247,48662,,,,,,,,,,,,,,,,PUTRA,KAMARULZAMAN KAMDIAS,MALE,,406,,,,,,,,,,,WARISAN,AZMAN BIN IDRIS,MALE,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.130,NEGERI SEMBILAN,P.130,RASAH,155896,119691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.131,NEGERI SEMBILAN,P.131,REMBAU,133555,109436,,,,,,,,,,,,,,,,PEJUANG,RAMLY BIN AWALLUDIN,MALE,,529,,,,,,,,,,,,,,,,PSM,CIKGU TINA,MALE,45,779,,,,,,,,,,,,,,,,,,,,,,,,,
P.132,NEGERI SEMBILAN,P.132,PORT DICKSON,104450,80185,,,,,,,,,,,,,,,,GB,DR. AHMAD IDHAM BIN AHMAD NADZRI,MALE,48,748,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PEN,RANI KULUP,MALE,67,441,,,,,,,,,,,,,,,
P.133,NEGERI SEMBILAN,P.133,TAMPIN,81099,61033,,,,,,,,,,,,,,,,BERJASA,USTAZ ZAMANI IBRAHIM,MALE,,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134,MELAKA,P.134,MASJID TANAH,69174,54749,,,,,,,,,,,,,,,,PEJUANG,HANDRAWIRAWAN BIN ABU BAKAR,MALE,,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.135,MELAKA,P.135,ALOR GAJAH,93311,73000,,,,,,,,,,,,,,,,BERJASA,MUHAMMAD NAZRIQ ABDUL RAHMAN,MALE,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.136,MELAKA,P.136,TANGGA BATU,115998,92027,,,,,,,,,,,,,,,,PUTRA,GHAZALI BIN ABU,MALE,,702,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PEN,SHAHRIL MAHMOOD,MALE,40,267,,,,,,,,,,,,,,,
P.137,MELAKA,P.137,HANG TUAH JAYA,118493,94486,,,,,,,,,,,,,,,,PEJUANG,SHEIKH IKHZAN,MALE,40,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.138,MELAKA,P.138,KOTA MELAKA,164140,123181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PEN,DATO' DR. NORAZLAN,MALE,42,925,,,,,,,,,,,,,,,
P.139,MELAKA,P.139,JASIN,96208,77598,,,,,,,,,,,,,,,,PEJUANG,MOHD DAUD NASIR,MALE,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.140,JOHOR,P.140,SEGAMAT,69360,50652,,,,,,,,,,,,,,,,PUTRA,SYED HAIROUL,MALE,,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.141,JOHOR,P.141,SEKIJANG,63981,48237,,,,,,,,,,,,,,,,PUTRA,SAIFUL FAIZAL,MALE,,138,,,,,,,,,,,WARISAN,MOHD ZOHAR BIN AHMAD,MALE,50,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.142,JOHOR,P.142,LABIS,49846,34745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.143,JOHOR,P.143,PAGOH,69939,54391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.144,JOHOR,P.144,LEDANG,104577,80307,,,,,,,,,,,,,,,,PEJUANG,RAFIDAH RIDWAN,FEMALE,,269,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,ZAINAL BAHROM,MALE,65,75,INDEPENDENT - PEN,CIKGU YUNUS,MALE,,140,,,,,,,,,,
P.145,JOHOR,P.145,BAKRI,97335,73140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,HARON JAFFAR,MALE,,1900,,,,,,,,,,,,,,,
P.146,JOHOR,P.146,MUAR,68925,53158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.147,JOHOR,P.147,PARIT SULONG,79484,62954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.148,JOHOR,P.148,AYER HITAM,61041,46692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.149,JOHOR,P.149,SRI GADING,78602,61264,,,,,,,,,,,,,,,,PEJUANG,MAHDZIR BIN IBRAHIM,MALE,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.150,JOHOR,P.150,BATU PAHAT,133910,99494,,,,,,,,,,,,,,,,PEJUANG,NIZAM BASHIR,MALE,49,410,,,,,,,,,,,,,,,,PRM,ZAHARI BIN OSMAN,MALE,,263,,,,,,,,,,,,,,,,,,,,,,,,,
P.151,JOHOR,P.151,SIMPANG RENGGAM,59033,44131,,,,,,,,,,,,,,,,PUTRA,KAMAL,MALE,40,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.152,JOHOR,P.152,KLUANG,132342,95621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CAR,IR. U. RAMENDRAN,MALE,52,404,,,,,,,,,,,,,,,
P.153,JOHOR,P.153,SEMBRONG,54982,40930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.154,JOHOR,P.154,MERSING,66275,46906,,,,,,,,,,,,,,,,PEJUANG,NURFATIMAH IBRAHIM,FEMALE,33,209,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CAR,ISMAIL BIN DON,MALE,54,89,,,,,,,,,,,,,,,
P.155,JOHOR,P.155,TENGGARA,67294,51350,,,,,,,,,,,,,,,,PUTRA,AZHAR PALAL,MALE,57,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.156,JOHOR,P.156,KOTA TINGGI,61291,47333,,,,,,PAN,ONN JAAFAR,MALE,,4903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.157,JOHOR,P.157,PENGERANG,55316,41840,,,,,,PAN,CHE ZAKARIA BIN MOHD SALLEH,MALE,61,3374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.158,JOHOR,P.158,TEBRAU,223301,167965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.159,JOHOR,P.159,PASIR GUDANG,198485,149280,,,,,,,,,,,,,,,,IMAN,MOHAMMAD RAFFI BERAN,MALE,,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.160,JOHOR,P.160,JOHOR BAHRU,136368,94393,,,,,,,,,,,,,,,,PEJUANG,HAIRY MAHMOOD,MALE,,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.161,JOHOR,P.161,PULAI,165313,117303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
