UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORATE,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE
P.055,PERAK,P.055,LENGGONG,36950,27679,,,,,,PKR,JUREY LATIFF ROSLI,MALE,56,3382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056,PERAK,P.056,LARUT,65719,51875,,,,,,PAN,USTAZ ZOLKHARNAIN BIN ABIDIN,MALE,,6207,,,,,,BERJASA,USTAZ AUZAIE,MALE,47,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057,PERAK,P.057,PARIT BUNTAR,68502,52903,,,,,,,,,,,,,,,,PEJUANG,HJ ROHIJAS,MALE,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058,PERAK,P.058,BAGAN SERAI,80293,62533,,,,,,,,,,,,,,,,PEJUANG,HAJI AHMAD LUQMAN,MALE,,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.059,PERAK,P.059,BUKIT GANTANG,94253,71567,,,,,,,,,,,,,,,,PEJUANG,MOHD SHUKRI,MALE,,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.060,PERAK,P.060,TAIPING,121566,84769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,MOHGANAN A/L P MANIKAM,MALE,,236,INDEPENDENT - RABBIT,TS.DR.RAMA,MALE,,113,INDEPENDENT - SPECTACLES,LEOW THYE YIH,MALE,55,1154,,,,,
P.061,PERAK,P.061,PADANG RENGAS,38686,29878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.062,PERAK,P.062,SUNGAI SIPUT,72395,51649,,,,,,,,,,,,,,,,PEJUANG,AHMAD FAUZI BIN MOHD JAAFAR,MALE,49,784,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,INDRANI,FEMALE,50,614,INDEPENDENT - BOOK,HAJI BAHA,MALE,63,598,INDEPENDENT - DONKEY,RAJAH A/L NARASAIM,MALE,57,35,,,,,
P.063,PERAK,P.063,TAMBUN,160558,124819,,,,,,,,,,,,,,,,PEJUANG,ABDUL RAHIM TAHIR,MALE,,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.064,PERAK,P.064,IPOH TIMOR,118178,79780,MCA,NG KAI CHEONG,MALE,38,8570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.065,PERAK,P.065,IPOH BARAT,114654,78356,MCA,AH NAN,MALE,39,7248,,,,,,GERAKAN,CHEK KWONG WENG,MALE,,6815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CLOCK,TAN SRI M KAYVEAS,MALE,68,378,,,,,,,,,,,,,,,
P.066,PERAK,P.066,BATU GAJAH,111896,74955,MCA,TEOH CHIN CHONG,MALE,63,6793,,,,,,GERAKAN,WOO CHEONG YUEN,MALE,,7163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.067,PERAK,P.067,KUALA KANGSAR,46985,35754,,,,,,,,,,,,,,,,PEJUANG,DR YUSMALIA BT MOHAMAD YUSOF,FEMALE,43,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.068,PERAK,P.068,BERUAS,108249,72173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.069,PERAK,P.069,PARIT,47915,37545,,,,,,,,,,,,,,,,PEJUANG,DR. FAIZOL FADZLI,MALE,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.070,PERAK,P.070,KAMPAR,89894,59386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,LEONG CHEOK KENG,MALE,,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.071,PERAK,P.071,GOPENG,143657,103638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,BALACHANDRAN A/L GOPAL,MALE,45,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
