UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022)
P.079,PAHANG,P.079,LIPIS,47124,78.23,14.76,4.99,1.14,0.11,0.08,0.69,98.08,0.00,0.63,1.29,6.02,22.01,23.76,15.61,13.88,10.86,5.24,2.17,0.45,50.88,49.12,RURAL
P.080,PAHANG,P.080,RAUB,75064,52.06,36.59,6.19,4.34,0.07,0.06,0.69,99.49,0.01,0.45,0.05,5.27,19.24,23.14,16.59,14.56,12.16,6.34,2.28,0.41,50.68,49.32,SEMI URBAN
P.081,PAHANG,P.081,JERANTUT,87051,82.20,11.77,2.45,2.66,0.09,0.07,0.75,99.59,0.01,0.37,0.04,6.36,20.94,25.09,18.81,12.45,8.79,5.86,1.48,0.21,50.19,49.81,RURAL
P.082,PAHANG,P.082,INDERA MAHKOTA,120549,67.34,25.48,5.58,0.09,0.40,0.26,0.86,98.33,0.01,0.99,0.67,8.48,25.95,23.24,16.07,12.70,9.16,3.37,0.88,0.15,50.02,49.98,URBAN
P.083,PAHANG,P.083,KUANTAN,87597,69.03,26.30,3.22,0.22,0.17,0.13,0.92,98.2,0.01,1.75,0.04,6.51,21.69,21.83,16.03,14.52,11.74,5.58,1.73,0.38,50.43,49.57,SEMI URBAN
P.084,PAHANG,P.084,PAYA BESAR,79744,83.96,11.06,1.92,1.56,0.10,0.12,1.28,99.86,0.01,0.09,0.04,7.26,22.90,24.67,16.88,12.72,9.73,4.50,1.18,0.17,49.7,50.3,RURAL
P.085,PAHANG,P.085,PEKAN,119443,84.96,1.79,0.70,9.39,0.35,0.53,2.28,94.07,0.01,0.36,5.55,7.04,23.93,27.02,17.47,11.48,8.51,3.43,0.92,0.21,50.77,49.23,SEMI URBAN
P.086,PAHANG,P.086,MARAN,53128,89.36,5.80,1.38,2.30,0.09,0.07,0.99,99.58,0.00,0.42,0.00,6.19,19.63,23.52,19.63,14.62,7.87,6.22,2.08,0.25,49.92,50.08,RURAL
P.087,PAHANG,P.087,KUALA KRAU,60537,88.70,2.52,2.07,5.96,0.10,0.06,0.59,99.93,0.00,0.07,0.00,6.02,19.29,26.39,20.50,11.12,9.09,6.22,1.19,0.18,49.45,50.55,RURAL
P.088,PAHANG,P.088,TEMERLOH,106829,66.28,21.05,8.12,1.38,0.35,0.54,2.29,97.61,0.01,0.48,1.90,6.72,23.82,24.21,16.12,13.11,9.96,4.31,1.46,0.29,50.18,49.82,SEMI URBAN
