UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,,,,
P.059_N.15,PERAK,P.059,BUKIT GANTANG,N.15,TRONG,PN - PAS,,17028,616,77.29,13161,13,191,12957,UMNO,CIKGU JAMILAH BT ZAKARIA,FEMALE,42,5055,PKR,JUNAIDA JAMALUDIN,FEMALE,54,2119,PAS,USTAZ FAISAL BIN ABDUL RAHMAN,MALE,43,5671,PEJUANG,MUSTAFAA KAMAL,MALE,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.060_N.16,PERAK,P.060,TAIPING,N.16,KAMUNTING,PN - PAS,,39850,3100,75.39,30042,86,292,29664,UMNO,AHMAD SHALIMIN,MALE,53,6674,PAN,DR. FADHIL,MALE,63,9945,PAS,USTAZ FAKHRUDIN,MALE,,13045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.060_N.17,PERAK,P.060,TAIPING,N.17,POKOK ASSAM,PH - DAP,,36513,12180,68.75,25101,76,196,24829,MCA,ANG SUI ENG,FEMALE,53,2660,DAP,ONG SENG GUAN,MALE,,16726,PPBM,HAJI JUHARI,MALE,65,4546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - SPECTACLES,LEOW THYE YIH,MALE,55,786,INDEPENDENT - TABLE,MOHD YUSOFF BIN ABDULL HAMID,MALE,,111,,,,,,,,,,,,,,
P.060_N.18,PERAK,P.060,TAIPING,N.18,AULONG,PH - DAP,,45203,14857,68.61,31015,86,264,30665,MIC,CIKGU SHANMUGANELLOO,MALE,53,3756,DAP,TEH KOK LIM,MALE,52,20306,GERAKAN,KOAY BOON HUI,MALE,,5449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,LEE SENG YAP,MALE,,739,INDEPENDENT - CHAIR,ABU BAKAR BIN ABDUL RAHMAN,MALE,45,415,,,,,,,,,,,,,,
P.061_N.19,PERAK,P.061,PADANG RENGAS,N.19,CHENDEROH,PN - PPBM,,17782,75,77.11,13712,27,141,13544,UMNO,KHAIRUDDIN BIN MOHAMED AZAHARI,MALE,,5267,PKR,MOHD KHAIROL IWAN,MALE,37,2803,PPBM,SYED LUKMAN HAKIM,MALE,25,5342,PEJUANG,AHMAD RODZI ABDUL RAHIM,MALE,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.061_N.20,PERAK,P.061,PADANG RENGAS,N.20,LUBOK MERBAU,PN - PAS,,20904,2955,79.43,16604,36,199,16369,UMNO,MOHAMAD AZIR BIN ISMAIL,MALE,,4767,PAN,CIKGU ZAITON,FEMALE,59,3880,PAS,USTAZ AZIZI,MALE,33,7722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.062_N.21,PERAK,P.062,SUNGAI SIPUT,N.21,LINTANG,BN - UMNO,,33107,5280,76.52,25334,34,469,24831,UMNO,DATO HJ. MOHD ZOLKAFLY HJ. HARUN,MALE,,12025,PKR,ZAIM SIDQI,MALE,31,6061,PPBM,AHMAD DASLIE BIN OSMAN,MALE,,6745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.062_N.22,PERAK,P.062,SUNGAI SIPUT,N.22,JALONG,PH - DAP,,39288,8713,69.72,27391,46,338,27007,MCA,PAN CHEAN CHANG,MALE,38,7242,DAP,LOH SZE YEE,MALE,47,15955,GERAKAN,DATO NARAN SINGH,MALE,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,INDRANI,FEMALE,50,767,,,,,,,,,,,,,,,,,,,
P.063_N.23,PERAK,P.063,TAMBUN,N.23,MANJOI,PN - PAS,,86266,6768,79.49,68572,178,759,67635,UMNO,AZIZUL KAMA ABD AZIZ,MALE,55,14699,PAN,ASMUNI AWI,MALE,60,23084,PAS,USTAZ HAFEZ SABRI,MALE,36,29852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.063_N.24,PERAK,P.063,TAMBUN,N.24,HULU KINTA,PH - PKR,,74292,4163,77.98,57934,139,857,56938,UMNO,DATUK MAZLAN BIN ABD RAHMAN,MALE,,16224,PKR,MUHAMAD ARAFAT,MALE,38,22220,PPBM,PUTERI HOLIJAH,FEMALE,,18057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,MURUGIAH SUBRAMANIAM,MALE,,437,,,,,,,,,,,,,,,,,,,
P.064_N.25,PERAK,P.064,IPOH TIMOR,N.25,CANNING,PH - DAP,,41021,20734,63.86,26197,148,187,25862,MCA,WOO KOK TOONG,MALE,31,1793,DAP,JENNY CHOY TSI JEN,FEMALE,34,22527,GERAKAN,PANG BOON YANG,MALE,25,1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
