UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE
P.021,KELANTAN,P.021,KOTA BHARU,PN - PAS,,115450,22613,68.45,79028,288,721,78019,UMNO,HJ. ROSMADI ISMAIL,MALE,50,16168,PAN,DR HAFIDZAH,FEMALE,,19256,PAS,DATUK SERI TAKIYUDDIN,MALE,60,41869,PUTRA,PROF. DATO DR CHE MUSA CHE OMAR,MALE,,528,,,,,,,,,,,,,,,,PRM,ANDY TAN @ AWANG,MALE,54,107,,,,,,INDEPENDENT - PEN,IZAT BUKHARY,MALE,51,91,,,,,,,,,,,,,,,
P.022,KELANTAN,P.022,PASIR MAS,PN - PAS,,94544,30717,69.96,66145,173,819,65153,UMNO,DATO GHANI,MALE,,13727,PKR,DATUK HUSAM,MALE,63,6439,PAS,USTAZ FADHLI SHAARI,MALE,42,44444,PUTRA,NASRUL ALI HASAN,MALE,31,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.023,KELANTAN,P.023,RANTAU PANJANG,PN - PAS,,93248,20636,65.85,61406,211,668,60527,UMNO,PROF UST ZUL,MALE,,17123,PAN,DR SHAH,MALE,,4256,PAS,KAK LAH,FEMALE,59,37759,PUTRA,DATO' DR. IBRAHIM ALI,MALE,71,1216,,,,,,,,,,,,,,,,PRM,DATUK ZAIN,MALE,,173,,,,,,,,,,,,,,,,,,,,,,,,,
P.024,KELANTAN,P.024,KUBANG KERIAN,PN - PAS,,113640,40847,72.6,82502,343,775,81384,UMNO,KAK LONG,FEMALE,37,14807,PAN,DR.WAN AHMAD KAMIL,MALE,64,10236,PAS,USTAZ DATO' TUAN IBRAHIM,MALE,62,55654,PEJUANG,RIZAL,MALE,,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.025,KELANTAN,P.025,BACHOK,PN - PAS,,123183,30163,74.03,91192,260,1019,89913,UMNO,DATUK HAJI ZAIN,MALE,57,27333,PKR,NOR AZMIZA MAMAT,FEMALE,38,4385,PAS,SYAHIR SULAIMAN,MALE,39,57496,PUTRA,CIKGU ZAM,MALE,,276,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,HAJI ZU,MALE,,423,,,,,,,,,,,,,,,
P.026,KELANTAN,P.026,KETEREH,PN - PPBM,,85281,23107,75.12,64060,298,900,62862,UMNO,MARZUANI ARDILA ARIFFIN (GEE),FEMALE,39,17435,PKR,HAJI RAHIMI,MALE,53,4662,PPBM,MEJ JEN DATO HJ KHLIR (B),MALE,64,40542,PUTRA,HANEEF IBRAHIM (ABE HANEEF),MALE,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.027,KELANTAN,P.027,TANAH MERAH,PN - PPBM,,98782,44498,71.34,70471,161,624,69686,UMNO,CIKGU BAKRI,MALE,57,9781,PKR,DATO' D,MALE,62,5357,PPBM,DATO' SRI IKMAL HISHAM,MALE,57,54279,PUTRA,LAWYER NASIR ABDULLAH,MALE,,168,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,DATUK NIK SAPEIA,MALE,68,101,,,,,,,,,,,,,,,
P.028,KELANTAN,P.028,PASIR PUTEH,PN - PAS,,113070,29120,73.03,82576,237,1020,81319,UMNO,DATUK CIKGU AWI,MALE,57,23988,PAN,USTAZ MUHAMMAD HUSAIN,MALE,,3873,PAS,USTAZ NIK ZAWAWI,MALE,55,53108,PEJUANG,KAPTEN WAN MARZUDI,MALE,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.029,KELANTAN,P.029,MACHANG,PN - PPBM,,88825,10154,74.33,66024,177,733,65114,UMNO,DATUK JAZLAN,MALE,58,25449,PKR,DR ROSLI,MALE,47,3934,PPBM,WAN AHMAD FAYHSAL,MALE,35,35603,PUTRA,MEJAR (B) MAT,MALE,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.030,KELANTAN,P.030,JELI,PN - PPBM,,59798,12464,73.13,43732,144,635,42953,UMNO,NORWAHIDA PATUAN,FEMALE,42,14608,PAN,MD RADZI,MALE,51,1140,PPBM,POK ZAHARI,MALE,62,27072,PUTRA,PROFESSOR DR IR HJ MAT,MALE,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.031,KELANTAN,P.031,KUALA KRAI,PN - PAS,,92335,25188,71.14,65684,207,796,64681,UMNO,ZUKI,MALE,,17552,PAN,SYAM GHAZ,MALE,,4148,PAS,USTAZ LATIFF,MALE,51,42740,PEJUANG,NORASHIKIN,FEMALE,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.032,KELANTAN,P.032,GUA MUSANG,PN - PPBM,,70254,163,70.18,49306,186,743,48377,UMNO,TENGKU RAZALEIGH HAMZAH,MALE,85,21663,PKR,ABE YO,MALE,48,4517,PPBM,MOHD AZIZI ABU NAIM,MALE,50,21826,PEJUANG,DATO' DR. ADABI,MALE,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
